,music,hastag_data,author_follower,author_heart,play
0,Lazada 1212 Meriah,lazada1212meriah,3400000,48700000,12500000
1,original sound - Lazada Indonesia,lazada1212meriah,2100000,40600000,66900
2,Lazada 1212 Meriah,lazada1212meriah,2800000,127900000,59500
3,Lazada 1212 Meriah,lazada1212meriah,3400000,48700000,1700000
4,Lazada 1212 Meriah,lazada1212meriah,33900,871700,7267
5,Lazada 1212 Meriah,lazada1212meriah,1871,266700,49100
6,Lazada 1212 Meriah,lazada1212meriah,33900,871700,3067
7,Lazada 1212 Meriah,lazada1212meriah,1502,148300,41900
8,Lazada 1212 Meriah,lazada1212meriah,2067,13000,5885
9,Lazada 1212 Meriah,lazada1212meriah,14000,177800,20400
10,Lazada 1212 Meriah,lazada1212meriah,1700000,8300000,37600
11,Lazada 1212 Meriah,lazada1212meriah,14000,177800,13200
12,Lazada 1212 Meriah,lazada1212meriah,14000,423900,5011
13,Lazada 1212 Meriah,lazada1212meriah,42100,74900,3938
14,original sound,foryou,3200000,44300000,386200000
15,Trap de Amarela,foryou,2800000,37600000,252900000
16,suono originale,foryou,123300000,1900000000,176400000
17,Falling,foryou,25100000,587200000,256400000
18,INDUSTRY BABY,foryou,9700000,174100000,181300000
19,Touch Down 2 Cause Hell,foryou,1900000,35100000,200200000
20,Sarah Paulson crying in a British accent,foryou,1600000,46800000,120100000
21,original sound,foryou,6900000,314000000,169800000
22,Laxed (Siren Beat),foryou,5200000,80100000,225400000
23,sonido original,capcut,384500,6900000,33300000
24,Day in the life,capcut,218600,6700000,25200000
25,original sound,capcut,751900,7500000,55100000
26,orijinal ses,capcut,744000,10500000,25800000
27,Mood - Remix,capcut,1900000,28000000,41400000
28,Get You The Moon,capcut,1300000,14900000,27600000
29,Ski Mask The Slump God – Foot Fungus,capcut,1200000,13800000,29800000
30,sonido original,capcut,141800,4000000,34500000
31,suara asli - j̶o̶w̶o̶ ̶p̶r̶i̶d̶e̶,jamesap,495300,6800000,715600
32,suara asli - S̳a̳y̳f̳u̳L̳_̳J̳r̳,jamesap,44900,448700,969000
33,suara asli - 🇲🇨 Lungo Tanpo Pamit 🇮🇩,jamesap,197300,2200000,340000
34,suara asli - J̶A̶V̶A̶ P̶R̶I̶D̶E̶ 💥,jamesap,495300,6800000,214900
35,suara asli - J̶A̶V̶A̶ P̶R̶I̶D̶E̶ 💥,jamesap,495300,6800000,218000
36,original sound - onenadaofficial,jamesap,33100,184800,215800
37,suara asli - Sucipto Ahmad293,jamesap,15900,145300,365000
38,suara asli - 𝐖𝐬𝐛𝐌𝐮𝐬𝐢𝐤𝐃𝐚𝐧𝐠𝐝𝐮𝐭,jamesap,123500,1600000,223400
39,Syahiba Saufa feat James Ap Mister Mendem,jamesap,113400,2000000,102400
40,suara asli - akunff,jamesap,45500,1000000,883700
41,suara asli - 爪卂丂 - P ?,syahiba_saufa,4121,63200,758800
42,original sound - mbak R,syahiba_saufa,20300,65300,735700
43,suara asli - j̶o̶w̶o̶ ̶p̶r̶i̶d̶e̶,syahiba_saufa,495300,6800000,715600
44,alum kembang,syahiba_saufa,45900,250800,403200
45,suara asli - Ganvie ABKC,syahiba_saufa,206100,4300000,614900
46,suara asli - Sahabat Syahiba Saufa 🐥,syahiba_saufa,83400,528400,552200
47,suara asli - 𝐖𝐬𝐛𝐌𝐮𝐬𝐢𝐤𝐃𝐚𝐧𝐠𝐝𝐮𝐭,syahiba_saufa,308700,4400000,435800
48,suara asli - DANGDUT.KALEM,syahiba_saufa,434300,8300000,557000
49,suara asli - Sahabat Syahiba Saufa 🐥,syahiba_saufa,83400,528400,376000
