Unnamed: 0,music,hastag_data,author_follower,author_heart,play
0,150,25,3400000,48700000,12500000
1,362,25,2100000,40600000,66900
2,150,25,2800000,127900000,59500
3,150,25,3400000,48700000,1700000
4,150,25,33900,871700,7267
5,150,25,1871,266700,49100
6,150,25,33900,871700,3067
7,150,25,1502,148300,41900
8,150,25,2067,13000,5885
9,150,25,14000,177800,20400
10,150,25,1700000,8300000,37600
11,150,25,14000,177800,13200
12,150,25,14000,423900,5011
13,150,25,42100,74900,3938
14,316,8,3200000,44300000,386200000
15,260,8,2800000,37600000,252900000
16,526,8,123300000,1900000000,176400000
17,103,8,25100000,587200000,256400000
18,129,8,9700000,174100000,181300000
19,256,8,1900000,35100000,200200000
20,220,8,1600000,46800000,120100000
21,316,8,6900000,314000000,169800000
22,149,8,5200000,80100000,225400000
23,427,4,384500,6900000,33300000
24,82,4,218600,6700000,25200000
25,316,4,751900,7500000,55100000
26,420,4,744000,10500000,25800000
27,178,4,1900000,28000000,41400000
28,113,4,1300000,14900000,27600000
29,230,4,1200000,13800000,29800000
30,427,4,141800,4000000,34500000
31,506,17,495300,6800000,715600
32,484,17,44900,448700,969000
33,524,17,197300,2200000,340000
34,457,17,495300,6800000,214900
35,457,17,495300,6800000,218000
36,406,17,33100,184800,215800
37,483,17,15900,145300,365000
38,520,17,123500,1600000,223400
39,245,17,113400,2000000,102400
40,494,17,45500,1000000,883700
41,519,40,4121,63200,758800
42,403,40,20300,65300,735700
43,506,40,495300,6800000,715600
44,281,40,45900,250800,403200
45,451,40,206100,4300000,614900
46,479,40,83400,528400,552200
47,520,40,308700,4400000,435800
48,437,40,434300,8300000,557000
49,479,40,83400,528400,376000
50,484,40,44900,448700,969000
51,480,21,30100,1100000,905700
52,297,21,7947,112700,989000
53,480,21,30100,1100000,655200
54,306,21,1895,120100,853000
55,480,21,30100,1100000,385900
56,522,21,1955,69600,565700
57,447,21,3589,64100,466100
58,446,21,20900,253700,392600
59,145,21,774,45000,166200
60,474,21,1631,42200,331800
61,161,39,46600,3100000,1800000
62,316,39,44900,701800,1900000
63,335,39,4544,233700,2900000
64,496,39,8166,193000,2100000
65,253,39,128300,6800000,803600
66,437,39,2712,209800,1500000
67,253,39,128300,6800000,802400
68,438,39,1840,159700,2000000
69,453,39,8925,318200,2300000
70,316,39,2110,194300,854400
71,419,41,3200000,46400000,287700000
72,316,41,11000000,127700000,264100000
73,106,41,3500000,64400000,248700000
74,537,41,36600000,963100000,168400000
75,316,41,6900000,314000000,169800000
76,295,41,3300000,46900000,130700000
77,537,41,36600000,963100000,161300000
78,44,41,2800000,36300000,109900000
79,316,41,2300000,42400000,119900000
80,162,13,86000000,2000000000,657600000
81,83,13,10100000,197800000,263900000
82,316,13,781400,34900000,182400000
83,316,13,11000000,127700000,270700000
84,260,13,2800000,37600000,252900000
85,316,13,843100,30900000,200700000
86,316,13,11000000,127700000,264100000
87,316,13,3700000,68400000,311400000
88,160,13,5200000,62100000,183800000
89,357,13,6500000,110500000,211900000
90,19,28,104700,4600000,15800000
91,317,28,832500,14600000,36500000
92,185,28,9500000,185600000,28600000
93,4,28,608400,8300000,41100000
94,102,28,84400,3500000,28600000
95,174,28,95600,5200000,21700000
96,464,28,299300,9100000,42900000
97,257,28,83800,2900000,19400000
98,340,28,1600000,39500000,35000000
99,56,28,59000,2600000,20500000
100,316,11,6600000,191900000,18000000
101,426,11,352600,5000000,24800000
102,55,11,1200000,31800000,19800000
103,316,11,562300,10900000,15600000
104,316,11,247900,4200000,8700000
105,316,11,10100000,438400000,11300000
106,128,11,96600,4500000,13500000
107,426,11,718000,8600000,10600000
108,316,11,1200000,12900000,17900000
109,426,11,112500,2400000,6300000
110,316,12,111300,5600000,22600000
111,510,12,2100000,38500000,51400000
112,356,12,3100000,114300000,23400000
113,8,12,46500,2200000,11600000
114,194,12,8100000,72000000,15100000
115,426,12,475200,4200000,7600000
116,316,12,214200,1600000,20200000
117,316,12,76500,7800000,4100000
118,426,12,188900,1600000,5400000
119,316,12,40800,1200000,16400000
120,377,24,4100000,58100000,1900000
121,352,24,1100000,21800000,4700000
122,52,24,696900,11800000,6400000
123,355,24,1300000,83900000,1800000
124,378,24,4700000,161800000,2600000
125,369,24,424800,6900000,3900000
126,399,24,2000000,61900000,582800
127,323,24,1800000,14200000,401000
128,53,24,472400,5700000,366500
129,387,24,53900,559100,275900
130,392,24,3500000,313300000,412600
131,330,24,77400,1400000,204200
132,393,24,748800,10900000,1600000
133,381,24,191200,1500000,172600
134,366,24,207200,1100000,189400
135,408,24,1900000,28900000,368800
136,390,24,523600,6100000,265000
137,389,24,1400000,35100000,319100
138,359,24,2100000,40600000,153800
139,24,24,28600,1100000,94400
140,115,24,1400000,64200000,8300000
141,130,24,2300000,56400000,10900000
142,412,24,2300000,56400000,6500000
143,361,24,798000,22300000,6600000
144,380,24,821700,14000000,8600000
145,213,24,3000000,121700000,10500000
146,412,24,2300000,56400000,5600000
147,352,24,2300000,56400000,5100000
148,455,24,163500,3000000,3700000
149,342,7,1665,123200,1100000
150,428,7,6026,199900,594200
151,477,7,20900,830500,859800
152,376,7,18300,916200,573100
153,428,7,959,84200,581300
154,383,7,4944,779000,510200
155,428,7,33800,235400,386500
156,428,7,20900,207100,625900
157,428,7,2320,225900,425000
158,467,7,3833,52000,455300
159,324,2,634300,8000000,10700000
160,291,2,165900,1000000,6600000
161,316,2,120800,722400,7400000
162,164,2,5100000,111400000,2800000
163,258,2,8176,384700,2500000
164,166,2,167800,13200000,2000000
165,12,2,461200,6400000,3300000
166,305,2,76500,1300000,4500000
167,316,2,459500,4200000,4500000
168,344,2,95500,541800,2700000
169,413,47,4900000,30400000,10500000
170,96,47,469900,6400000,142100
171,516,47,339600,11900000,318700
172,207,47,521700,23800000,592700
173,343,47,454800,7000000,275200
174,511,47,189800,10400000,730800
175,277,47,647000,16900000,163200
176,379,47,153900,2100000,726800
177,153,47,335100,6500000,166300
178,146,47,231600,4100000,417000
179,29,47,356000,4600000,586100
180,146,47,2300000,73300000,389400
181,221,47,1500000,58300000,1300000
182,250,47,766700,18400000,477000
183,414,47,243900,5200000,95400
184,445,47,502900,10400000,1500000
185,218,47,175400,2300000,393900
186,169,47,52200,1600000,514400
187,236,47,66600,1400000,168200
188,126,47,766700,18400000,754700
189,176,47,972600,22200000,938200
190,221,47,473800,9300000,330900
191,402,47,1900000,22500000,184200
192,31,47,501300,2700000,799900
193,218,47,26200,1100000,344300
194,146,47,32700,1200000,151800
195,241,47,70800,939400,296100
196,221,47,760900,17700000,297000
197,37,47,259300,8500000,187300
198,120,47,327400,7500000,923300
199,41,47,523000,12800000,479400
200,199,47,870000,20700000,1600000
201,167,47,514000,6100000,225700
202,176,47,680800,33300000,130300
203,176,47,243900,5200000,39200
204,240,47,23500,357900,22100
205,329,47,828600,10600000,1300000
206,235,47,1100000,31800000,679700
207,382,47,166500,3900000,543500
208,298,47,335100,6500000,369400
209,231,47,972600,22200000,7100000
210,294,47,7103,131900,66900
211,57,47,3500000,40100000,1200000
212,44,47,766700,18400000,1700000
213,176,47,851400,18500000,364700
214,221,47,7103,131900,58800
215,331,47,114100,2200000,80800
216,151,47,421900,12600000,111900
217,374,47,311300,3200000,111900
218,170,47,139700,2500000,671200
219,436,47,156400,5200000,195900
220,32,47,237800,3300000,611800
221,298,47,2700000,98100000,4500000
222,110,47,94600,3400000,277700
223,152,47,159000,1300000,307000
224,232,47,67400,704000,294200
225,163,47,141200,3100000,81000
226,262,47,839600,24900000,309300
227,259,47,152400,1600000,714300
228,415,47,228000,3200000,316300
229,266,47,980000,18400000,324700
230,404,47,383100,10200000,357900
231,476,47,118500,5900000,80200
232,235,47,289200,7300000,304100
233,33,47,677400,12100000,802300
234,237,47,356000,4600000,104400
235,80,47,353600,9400000,331900
236,163,47,523000,12800000,334900
237,180,47,175400,2300000,298600
238,233,47,97800,1300000,88300
239,51,47,264900,9700000,315500
240,461,47,862500,33800000,2500000
241,472,47,791700,9500000,287700
242,25,47,23500,357900,92400
243,431,47,421900,12600000,273900
244,159,47,198200,3400000,1100000
245,212,47,166500,3900000,676500
246,298,47,6300000,275600000,2800000
247,176,47,454800,7000000,341000
248,221,47,3900000,54200000,294700
249,26,47,243900,5200000,84700
250,175,47,1200000,21100000,353100
251,235,47,509800,9500000,694300
252,223,47,525700,15200000,772100
253,482,47,862500,12600000,4900000
254,111,47,521700,23800000,1100000
255,158,47,327400,7500000,2300000
256,264,47,52400,628200,299200
257,27,47,308500,6900000,309900
258,235,47,647000,16900000,357400
259,156,47,677400,12100000,141900
260,238,47,701900,9300000,170400
261,267,47,1100000,31800000,315600
262,373,47,371600,11500000,854500
263,176,47,972600,22200000,2400000
264,279,47,163800,2200000,107600
265,204,47,97800,1300000,63900
266,371,47,2000000,49300000,2000000
267,133,47,4000000,100100000,1900000
268,173,47,2969,320900,336500
269,125,47,592000,19300000,838700
270,112,47,273,2709,60300
271,500,47,4106,54800,292200
272,48,47,393700,6700000,784700
273,316,47,159000,1300000,708000
274,221,47,139700,2500000,691000
275,110,47,94600,3400000,66100
276,105,47,93200,1500000,307400
277,345,47,647000,16900000,289200
278,221,47,54900,1700000,697400
279,221,47,1800000,35300000,73200
280,221,47,4000000,100100000,2100000
281,511,47,189800,10400000,647600
282,265,47,1500000,18000000,406400
283,302,47,157300,4200000,372200
284,404,47,383100,10200000,328500
285,422,47,356000,4600000,141400
286,298,47,114100,2200000,305400
287,414,47,243900,5200000,235700
288,250,47,766700,18400000,2200000
289,34,47,356000,4600000,1000000
290,235,47,1100000,31800000,2300000
291,235,47,526400,12700000,1600000
292,84,47,1600000,38900000,636400
293,207,47,74600,1600000,696800
294,146,47,78400,2000000,411400
295,46,47,521700,23800000,750600
296,311,47,105000,2100000,867000
297,91,47,380000,3300000,938800
298,255,47,112200,6600000,694400
299,337,47,4200000,125400000,790200
300,533,47,166500,3900000,1100000
301,186,47,174600,6000000,333600
302,81,47,1100000,45200000,10200000
303,51,47,523000,12800000,10900000
304,235,47,883400,33600000,8200000
305,202,47,1400000,18000000,2800000
306,126,47,125600,5400000,3200000
307,10,47,3700000,30300000,4800000
308,163,47,273900,4000000,1800000
309,268,47,2200000,55100000,2300000
310,298,47,851400,18500000,2000000
311,401,47,19500,785900,6200000
312,316,36,191800,4000000,17300000
313,300,36,783900,14200000,12800000
314,6,36,99500,1900000,24800000
315,176,36,347000,4800000,13600000
316,426,36,155800,1600000,18800000
317,426,36,222500,4000000,8300000
318,321,36,5400000,39400000,11000000
319,388,36,39600,2400000,9000000
320,7,36,64000,1700000,10100000
321,148,36,8626,1400000,11400000
322,413,0,4900000,30400000,17100000
323,218,0,15600,288200,233200
324,163,0,169200,5600000,448300
325,219,0,67600,2400000,34700
326,186,0,549200,12000000,2900000
327,176,0,750700,20300000,175500
328,270,0,190100,4700000,41600
329,176,0,501500,15300000,33000
330,503,0,102400,876100,211700
331,249,0,282700,2100000,83000
332,237,0,144100,3200000,15900
333,310,0,200000,9900000,7078
334,411,0,24100,345300,30400
335,278,0,495900,22200000,22800
336,210,0,33400,816200,13300
337,132,0,102400,876100,34900
338,238,0,493800,15300000,146400
339,168,0,340600,9900000,140300
340,272,0,190100,4700000,22500
341,251,0,340600,9900000,24500
342,100,0,103900,1000000,85800
343,197,0,144100,3200000,19700
344,407,0,102000,709900,106000
345,157,0,87800,2200000,175000
346,398,0,501500,15300000,102900
347,124,0,19100,233600,51800
348,278,0,495900,22200000,33200
349,201,0,44600,334500,23600
350,360,0,536900,8100000,196200
351,42,0,94300,944200,12300
352,11,0,248700,2900000,35500
353,176,0,176300,3100000,22200
354,206,0,340600,9900000,23100
355,98,0,327900,9800000,22600
356,92,0,340600,9900000,12300
357,179,0,19200,229300,17600
358,121,0,87800,2200000,7473
359,272,0,900400,14200000,17800
360,244,0,101900,1400000,89800
361,226,0,906400,11400000,26500
362,176,0,184400,3300000,123800
363,501,0,47500,496600,47400
364,400,0,144100,3200000,3907
365,270,0,190100,4700000,29600
366,119,0,493800,15300000,125100
367,163,0,699800,18700000,1200000
368,244,0,11900,135100,14900
369,70,0,340600,9900000,52400
370,212,0,19300,321300,3857
371,487,0,976100,18900000,82200
372,142,0,493800,15300000,1600000
373,35,0,699800,18700000,79400
374,108,0,67600,2400000,25100
375,348,0,13100,149600,15600
376,151,0,63200,623300,6068
377,272,0,900400,14200000,37000
378,107,0,146800,779500,57800
379,347,0,67600,2400000,21600
380,186,0,144100,3200000,87300
381,163,0,327900,9800000,25100
382,224,0,340600,9900000,30900
